userName,score,at,content
Vannn Tji,1,2026-04-04 04:04:38,"saat lupa kata password susah bgt untuk pulihkan akun. kirim otp, tidak ada notif otp sama sekali. buruk sekali"
Admin BLK Purworejo,5,2026-04-03 22:46:26,bagus
ewin adit,5,2026-04-03 08:02:10,sangat membantu trima kasih....
Siti Aisyah,1,2026-04-02 08:28:18,sumpah ngeselin bngt. login nya bikin lama harus ini itu ribett. benerin lah ulasan sampe jelek gtu masa mau di biarin aja dih najong
hajar varma,1,2026-04-02 07:18:34,"aplikasi sampah, sudah capek bikin surat ini itu tapi pas swa foto sama skali tak bisa, mau kalai jkp saja susah betul"
bayu Ajah,1,2026-04-02 05:18:28,banyak bug
Fiii iQ,1,2026-04-02 05:15:57,mau cairin JKP susah banget gak bisa2 padahal udah terdaftar emang gak sinkron ya jmo sama ini
P Etak,1,2026-04-02 03:02:23,susah masuknya
Reginaldo X TJKT 2,1,2026-04-02 02:25:14,fiturnya aneh
Deffa Resky Pasha,1,2026-04-02 01:06:36,aplikasi sampah
Haris Ngabret,2,2026-04-01 05:39:35,"kenapa saya tidak bisa melamar pekerjaan di siap kerja full seperti biasanya,cuma bisa 3 pkerjaan melamar, padahal sudah proses bulan ke 5"
